linia_A,linia_B,z,p,p_bonferroni
LH,DY,8.894,0.0,0.0
KL,DY,10.839,0.0,0.0
LO,DY,10.589,0.0,0.0
EZY,DY,9.015,0.0,0.0
DY,LX,-10.411,0.0,0.0
FR,DY,7.797,6.439293542825908e-15,2.8976820942716586e-13
W6,KL,-7.736,1.021405182655144e-14,4.596323321948148e-13
AY,LX,-7.681,1.5765166949677223e-14,7.09432512735475e-13
W6,LX,-7.488,6.994405055138486e-14,3.1474822748123188e-12
W6,LO,-7.429,1.092459456231154e-13,4.916067553040193e-12
KL,AY,7.315,2.5646151868841116e-13,1.1540768340978502e-11
FR,KL,-7.094,1.304734098539484e-12,5.871303443427678e-11
FR,LX,-6.899,5.236922007156863e-12,2.3566149032205885e-10
FR,LO,-6.835,8.199885215276481e-12,3.6899483468744165e-10
DY,EJU,-6.637,3.2104541247690577e-11,1.444704356146076e-09
LO,AY,6.564,5.2436277542255993e-11,2.3596324894015197e-09
W6,DY,6.191,5.991105389568929e-10,2.695997425306018e-08
EZY,AY,5.849,4.9461290618779685e-09,2.2257580778450858e-07
W6,EZY,-5.4,6.654637396685814e-08,2.9945868285086163e-06
LH,AY,5.381,7.418205516529497e-08,3.3381924824382736e-06
W6,LH,-4.968,6.753013344074077e-07,3.0388560048333346e-05
FR,EZY,-4.592,4.383715133560173e-06,0.0001972671810102078
AY,EJU,-4.181,2.903253904662506e-05,0.0013064642570981277
FR,LH,-4.022,5.776402545332182e-05,0.002599381145399482
LH,LX,-3.935,8.333524394799063e-05,0.0037500859776595785
FR,AY,3.617,0.00029747654592759964,0.013386444566741984
LO,LX,-3.442,0.0005769142369931313,0.025961140664690907
LX,EJU,3.188,0.0014327154069542214,0.06447219331293996
W6,EJU,-3.07,0.002143229192860696,0.09644531367873133
EZY,LX,-2.816,0.004857278451753766,0.21857753032891947
LH,KL,-2.682,0.0073285536746976465,0.3297849153613941
W6,AY,2.472,0.013424411937859704,0.6040985372036867
DY,AY,-2.414,0.015791116534564553,0.7106002440554049
FR,W6,2.393,0.016726898242639177,0.752710420918763
FR,EJU,-2.314,0.02066314998008134,0.9298417491036604
LH,EZY,-1.112,0.2659832012635739,1.0
LO,EZY,-0.298,0.7657005629644611,1.0
LO,KL,-1.974,0.048387434722841904,1.0
LO,LH,1.083,0.2789004154129877,1.0
LO,EJU,0.728,0.46646716526338095,1.0
KL,EZY,1.315,0.1883805619639105,1.0
LH,EJU,0.021,0.9831668051003666,1.0
KL,LX,-1.846,0.06486560491293236,1.0
KL,EJU,1.944,0.0518659904974168,1.0
EZY,EJU,0.846,0.3977248654925576,1.0
